City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,selfoss,63.9331,-20.9971,274.84,41,90,4.55,IS,1728840364
220,moree,-29.4667,149.85,287.53,89,98,3.9,AU,1728840365
221,puerto baquerizo moreno,-0.9,-89.6,296.7,94,75,6.69,EC,1728840366
222,beledweyne,4.7358,45.2036,303.96,46,96,7.8,SO,1728840367
223,caleta de carquin,-11.0925,-77.6267,294.17,71,46,4.47,PE,1728840368
224,massena,44.9281,-74.8919,282.66,57,100,4.63,US,1728840371
225,pul-e khumri,35.9446,68.7151,293.89,30,12,0.16,AF,1728840372
226,yatou,37.15,122.3833,291.7,81,100,2.55,CN,1728840373
227,olinda,-8.0089,-34.8553,302.0,65,75,4.63,BR,1728840256
228,puerto real,36.5282,-6.1901,297.22,78,20,2.06,ES,1728840375
229,sinabang,2.4803,96.3801,297.61,88,100,1.4,ID,1728840377
230,mora,11.0461,14.1401,301.56,58,93,2.3,CM,1728840378
231,badger,64.8,-147.5333,274.08,90,20,0.0,US,1728840379
232,hirara,24.8,125.2833,299.3,89,20,3.6,JP,1728840380
233,usinsk,65.9939,57.5281,273.88,99,100,5.84,RU,1728840381
234,watton,53.9333,-0.45,282.01,76,100,0.51,GB,1728840382
235,jose maria morelos,30.8066,-112.684,306.12,27,0,1.6,MX,1728840383
236,dwarka,22.2394,68.9678,301.92,75,100,4.77,IN,1728840384
237,coahuayana de hidalgo,18.7,-103.6583,303.98,53,6,0.91,MX,1728840385
238,sitka,57.0531,-135.33,283.09,76,75,5.66,US,1728840388
239,rongelap,11.1635,166.8941,301.34,77,46,6.22,MH,1728840389
240,akureyri,65.6835,-18.0878,268.11,80,0,0.51,IS,1728840390
241,kapa'a,22.0752,-159.319,299.33,95,40,4.63,US,1728840391
242,ramadi,33.4226,43.3058,304.33,12,3,3.11,IQ,1728840392
243,santa terezinha,-29.9002,-50.0904,293.23,76,0,9.82,BR,1728840393
244,luderitz,-26.6481,15.1594,293.88,54,4,15.38,NA,1728840394
245,pacocha,-17.5833,-71.3333,292.77,72,3,2.8,PE,1728840395
246,klaksvik,62.2266,-6.589,278.29,53,65,5.47,FO,1728840396
247,nuuk,64.1835,-51.7216,276.49,81,75,0.0,GL,1728840367
248,mooroopna,-36.4,145.35,285.4,42,100,3.27,AU,1728840398
249,happy valley-goose bay,53.3168,-60.3315,279.32,87,100,6.17,CA,1728840400
250,malyye derbety,47.9547,44.6808,279.35,39,0,7.05,RU,1728840401
251,luwuk,-0.9516,122.7875,295.97,91,99,1.26,ID,1728840402
252,baidoa,3.1138,43.6498,300.63,50,96,6.15,SO,1728840403
253,karratha,-20.7377,116.8463,301.64,17,6,7.48,AU,1728840404
254,punta gorda,26.9298,-82.0454,303.74,72,40,3.6,US,1728840189
255,laojunmiao,39.8333,97.7333,283.21,38,62,1.81,CN,1728840406
256,kingston,17.997,-76.7936,306.68,62,20,9.26,JM,1728840389
257,shahrak,34.1074,64.3052,283.9,25,28,1.12,AF,1728840409
258,kiunga,-6.1219,141.2906,296.06,100,100,0.95,PG,1728840193
259,hastings,50.8552,0.5729,282.14,35,100,2.09,GB,1728840411
260,nili,33.7218,66.1302,286.62,20,4,1.82,AF,1728840412
